Instance,Instance Size,Pivoting Rule,Neighborhood,Initial Solution,Run,Deviation (%),Time (s)
ta106,200,first,vnd1,random,1,6.626,24.4507
ta106,200,first,vnd1,random,2,6.6066,39.5609
ta106,200,first,vnd1,random,3,6.5973,49.456
ta106,200,first,vnd1,random,4,6.5724,23.3251
ta106,200,first,vnd1,random,5,6.6066,34.9272
ta106,200,first,vnd1,random,6,6.5786,22.4887
ta106,200,first,vnd1,random,7,6.5768,19.4178
ta106,200,first,vnd1,random,8,6.5768,20.5032
ta106,200,first,vnd1,random,9,6.5768,19.7034
ta106,200,first,vnd1,random,10,6.5876,24.071
ta106,200,first,vnd1,srz,1,6.5706,23.9617
ta106,200,first,vnd1,srz,2,6.5876,19.8348
ta106,200,first,vnd1,srz,3,6.5786,21.4261
ta106,200,first,vnd1,srz,4,6.5938,18.7465
ta106,200,first,vnd1,srz,5,6.5923,18.3446
ta106,200,first,vnd1,srz,6,6.6004,38.9648
ta106,200,first,vnd1,srz,7,6.5786,18.5879
ta106,200,first,vnd1,srz,8,6.5752,24.9633
ta106,200,first,vnd1,srz,9,6.577,21.8467
ta106,200,first,vnd1,srz,10,6.5876,23.6907
ta106,200,first,vnd2,random,1,6.5768,30.4126
ta106,200,first,vnd2,random,2,6.6051,34.6942
ta106,200,first,vnd2,random,3,6.4514,39.7169
ta106,200,first,vnd2,random,4,6.3215,38.1555
ta106,200,first,vnd2,random,5,6.6051,34.2138
ta106,200,first,vnd2,random,6,6.5768,22.0033
ta106,200,first,vnd2,random,7,6.5724,21.6293
ta106,200,first,vnd2,random,8,6.5752,24.85
ta106,200,first,vnd2,random,9,6.5752,22.9665
ta106,200,first,vnd2,random,10,6.5752,23.2114
ta106,200,first,vnd2,srz,1,6.5752,23.982
ta106,200,first,vnd2,srz,2,6.577,18.0987
ta106,200,first,vnd2,srz,3,6.577,18.2905
ta106,200,first,vnd2,srz,4,6.5876,26.2332
ta106,200,first,vnd2,srz,5,6.5768,20.3514
ta106,200,first,vnd2,srz,6,6.5876,22.2196
ta106,200,first,vnd2,srz,7,6.5706,19.5282
ta106,200,first,vnd2,srz,8,6.5768,25.4555
ta106,200,first,vnd2,srz,9,6.5768,23.7009
ta106,200,first,vnd2,srz,10,6.392,33.1048
ta106,200,best,vnd1,random,1,6.5291,41.6312
ta106,200,best,vnd1,random,2,6.6066,40.4306
ta106,200,best,vnd1,random,3,6.5752,22.3642
ta106,200,best,vnd1,random,4,6.5923,25.9904
ta106,200,best,vnd1,random,5,6.5786,21.6689
ta106,200,best,vnd1,random,6,6.5706,28.2644
ta106,200,best,vnd1,random,7,6.5768,19.2331
ta106,200,best,vnd1,random,8,6.6289,18.8673
ta106,200,best,vnd1,random,9,6.6066,35.9409
ta106,200,best,vnd1,random,10,6.6004,41.2597
ta106,200,best,vnd1,srz,1,6.6051,35.8558
ta106,200,best,vnd1,srz,2,6.6066,37.6739
ta106,200,best,vnd1,srz,3,6.6289,21.9463
ta106,200,best,vnd1,srz,4,6.5923,20.8944
ta106,200,best,vnd1,srz,5,6.4363,41.0154
ta106,200,best,vnd1,srz,6,6.6242,30.543
ta106,200,best,vnd1,srz,7,6.3215,37.5712
ta106,200,best,vnd1,srz,8,6.5752,20.7216
ta106,200,best,vnd1,srz,9,6.5706,20.7378
ta106,200,best,vnd1,srz,10,6.6051,36.7422
ta106,200,best,vnd2,random,1,6.5941,19.3063
ta106,200,best,vnd2,random,2,6.527,51.8093
ta106,200,best,vnd2,random,3,6.5768,22.7421
ta106,200,best,vnd2,random,4,6.6004,40.9971
ta106,200,best,vnd2,random,5,6.6066,33.0866
ta106,200,best,vnd2,random,6,6.5786,22.3174
ta106,200,best,vnd2,random,7,6.4004,49.1934
ta106,200,best,vnd2,random,8,6.6051,33.5791
ta106,200,best,vnd2,random,9,6.5786,23.5886
ta106,200,best,vnd2,random,10,6.5752,26.3283
ta106,200,best,vnd2,srz,1,6.5786,19.8718
ta106,200,best,vnd2,srz,2,6.6066,31.793
ta106,200,best,vnd2,srz,3,6.5923,23.3516
ta106,200,best,vnd2,srz,4,6.6322,18.3485
ta106,200,best,vnd2,srz,5,6.577,21.3086
ta106,200,best,vnd2,srz,6,6.6066,35.3352
ta106,200,best,vnd2,srz,7,6.5706,21.649
ta106,200,best,vnd2,srz,8,6.6066,30.0921
ta106,200,best,vnd2,srz,9,6.6307,22.6328
ta106,200,best,vnd2,srz,10,6.6004,40.1224
ta088,100,first,vnd1,random,1,6.7829,2.6219
ta088,100,first,vnd1,random,2,6.7941,1.9915
ta088,100,first,vnd1,random,3,6.8159,1.492
ta088,100,first,vnd1,random,4,6.7941,2.5732
ta088,100,first,vnd1,random,5,6.7941,3.6919
ta088,100,first,vnd1,random,6,6.7941,2.4656
ta088,100,first,vnd1,random,7,6.7829,2.7532
ta088,100,first,vnd1,random,8,6.7941,2.8368
ta088,100,first,vnd1,random,9,6.7829,2.8363
ta088,100,first,vnd1,random,10,6.8159,1.8046
ta088,100,first,vnd1,srz,1,5.2473,5.0573
