Instance,Instance Size,Pivoting Rule,Neighborhood,Initial Solution,Run,Deviation (%),Time (s)
ta106,200,best,transpose,random,1,27.5909,0.0842
ta106,200,best,transpose,random,2,28.4643,0.1344
ta106,200,best,transpose,random,3,30.336,0.0772
ta106,200,best,transpose,random,4,28.8398,0.0776
ta106,200,best,transpose,random,5,28.802,0.0792
ta106,200,best,transpose,random,6,23.7326,0.0432
ta106,200,best,transpose,random,7,28.1132,0.1982
ta106,200,best,transpose,random,8,26.4726,0.1666
ta106,200,best,transpose,random,9,26.4206,0.0971
ta106,200,best,transpose,random,10,24.3972,0.0454
ta088,100,first,exchange,srz,1,7.2227,0.9403
ta088,100,first,exchange,srz,2,8.0723,0.7484
ta088,100,first,exchange,srz,3,6.9322,0.9546
ta088,100,first,exchange,srz,4,7.2136,0.6774
ta088,100,first,exchange,srz,5,7.4791,1.2368
ta088,100,first,exchange,srz,6,7.1738,1.2358
ta088,100,first,exchange,srz,7,7.7763,0.7553
ta088,100,first,exchange,srz,8,7.4487,0.7552
ta088,100,first,exchange,srz,9,7.9698,0.7305
ta088,100,first,exchange,srz,10,7.8224,0.9396
ta088,100,first,transpose,srz,1,6.7936,1.1359
ta088,100,first,transpose,srz,2,6.7829,0.8493
ta088,100,first,transpose,srz,3,6.7829,1.0396
ta088,100,first,transpose,srz,4,6.8159,0.861
ta088,100,first,transpose,srz,5,6.8159,1.178
ta088,100,first,transpose,srz,6,6.8159,0.6888
ta088,100,first,transpose,srz,7,6.7941,0.9247
ta088,100,first,transpose,srz,8,6.7936,0.7352
ta088,100,first,transpose,srz,9,6.8159,0.7132
ta088,100,first,transpose,srz,10,6.7941,0.875
ta088,100,best,transpose,random,1,23.1925,0.0398
ta088,100,best,transpose,random,2,26.8287,0.0526
ta088,100,best,transpose,random,3,25.2584,0.0241
ta088,100,best,transpose,random,4,26.0524,0.0326
ta088,100,best,transpose,random,5,21.2603,0.0157
ta088,100,best,transpose,random,6,27.096,0.0253
ta088,100,best,transpose,random,7,25.7174,0.0446
ta088,100,best,transpose,random,8,24.7167,0.0256
ta088,100,best,transpose,random,9,25.6035,0.0658
ta088,100,best,transpose,random,10,27.7826,0.0474
ta088,100,first,exchange,random,1,13.2007,0.8114
ta088,100,first,exchange,random,2,11.1504,1.4154
ta088,100,first,exchange,random,3,13.2566,0.8174
ta088,100,first,exchange,random,4,12.1017,0.8274
ta088,100,first,exchange,random,5,16.3365,1.3465
ta088,100,first,exchange,random,6,13.274,0.7125
ta088,100,first,exchange,random,7,15.8528,0.6199
ta088,100,first,exchange,random,8,14.436,0.7128
ta088,100,first,exchange,random,9,12.9739,1.0864
ta088,100,first,exchange,random,10,12.9136,1.061
ta088,100,first,transpose,random,1,20.0928,0.8828
ta088,100,first,transpose,random,2,19.6947,1.0563
ta088,100,first,transpose,random,3,16.6533,1.8305
ta088,100,first,transpose,random,4,18.9197,0.9334
ta088,100,first,transpose,random,5,21.5541,0.4567
ta088,100,first,transpose,random,6,18.6968,0.8436
ta088,100,first,transpose,random,7,15.199,1.4865
ta088,100,first,transpose,random,8,25.3076,1.1777
ta088,100,first,transpose,random,9,21.9583,0.5226
ta088,100,first,transpose,random,10,17.764,1.7055
ta088,100,best,transpose,srz,1,6.9774,0.3129
ta088,100,best,transpose,srz,2,6.9774,0.2938
ta088,100,best,transpose,srz,3,6.9774,0.3047
ta088,100,best,transpose,srz,4,6.9774,0.3287
ta088,100,best,transpose,srz,5,6.9774,0.3199
ta088,100,best,transpose,srz,6,6.9774,0.316
ta088,100,best,transpose,srz,7,6.9774,0.3184
ta088,100,best,transpose,srz,8,6.9774,0.3179
ta088,100,best,transpose,srz,9,6.9774,0.3008
ta088,100,best,transpose,srz,10,6.9774,0.3205
ta088,100,first,insert,random,1,12.9492,1.132
ta088,100,first,insert,random,2,14.1523,1.0405
ta088,100,first,insert,random,3,19.2729,0.8259
ta088,100,first,insert,random,4,13.9182,1.1516
ta088,100,first,insert,random,5,16.7854,1.4085
ta088,100,first,insert,random,6,15.0776,1.0522
ta088,100,first,insert,random,7,16.6429,2.1314
ta088,100,first,insert,random,8,13.234,1.3777
ta088,100,first,insert,random,9,17.4311,0.9904
ta088,100,first,insert,random,10,15.5158,0.742
ta088,100,first,insert,srz,1,7.8221,1.0827
ta088,100,first,insert,srz,2,6.4766,0.6856
ta088,100,first,insert,srz,3,6.6495,1.5231
ta088,100,first,insert,srz,4,7.2214,1.1165
ta088,100,first,insert,srz,5,7.0469,0.8825
ta088,100,first,insert,srz,6,7.2802,0.8822
ta088,100,first,insert,srz,7,7.0825,0.9272
ta088,100,first,insert,srz,8,7.8408,0.6664
ta088,100,first,insert,srz,9,6.5543,0.6674
ta088,100,first,insert,srz,10,6.2272,0.9078
ta106,200,best,transpose,srz,1,6.6864,2.3123
ta106,200,best,transpose,srz,2,6.6864,2.3756
ta106,200,best,transpose,srz,3,6.6864,2.252
ta106,200,best,transpose,srz,4,6.6864,2.2428
ta106,200,best,transpose,srz,5,6.6864,2.2682
ta106,200,best,transpose,srz,6,6.6864,2.2912
ta106,200,best,transpose,srz,7,6.6864,2.3231
ta106,200,best,transpose,srz,8,6.6864,2.1918
ta106,200,best,transpose,srz,9,6.6864,2.1864
ta106,200,best,transpose,srz,10,6.6864,2.1736
ta088,100,best,insert,random,1,21.7728,1.2761
ta088,100,best,insert,random,2,19.7914,1.2363
ta088,100,best,insert,random,3,25.0202,1.2144
ta088,100,best,insert,random,4,25.7583,1.1801
ta088,100,best,insert,random,5,24.3508,1.1988
ta088,100,best,insert,random,6,24.0627,1.1704
ta088,100,best,insert,random,7,24.103,1.1586
ta088,100,best,insert,random,8,21.6392,1.1621
ta088,100,best,insert,random,9,23.8141,1.1744
ta088,100,best,insert,random,10,23.083,1.1574
ta088,100,best,exchange,random,1,23.6973,1.6085
ta088,100,best,exchange,random,2,22.7018,1.163
ta088,100,best,exchange,random,3,19.8315,1.956
ta088,100,best,exchange,random,4,20.6613,1.9384
ta088,100,best,exchange,random,5,22.1575,2.6921
ta088,100,best,exchange,random,6,22.8471,1.1494
ta088,100,best,exchange,random,7,24.5037,1.5164
ta088,100,best,exchange,random,8,25.1991,1.5132
ta088,100,best,exchange,random,9,24.602,0.7597
ta088,100,best,exchange,random,10,21.6581,1.1474
ta088,100,best,exchange,srz,1,6.8159,1.4516
ta088,100,best,exchange,srz,2,6.8159,1.4508
ta088,100,best,exchange,srz,3,6.8159,1.4376
ta088,100,best,exchange,srz,4,6.8159,1.4451
ta088,100,best,exchange,srz,5,6.8159,1.4208
ta088,100,best,exchange,srz,6,6.8159,1.4237
ta088,100,best,exchange,srz,7,6.8159,1.4041
ta088,100,best,exchange,srz,8,6.8159,1.4273
ta088,100,best,exchange,srz,9,6.8159,1.443
ta088,100,best,exchange,srz,10,6.8159,1.4159
ta088,100,best,insert,srz,1,7.6505,1.555
ta088,100,best,insert,srz,2,7.6505,1.4907
ta088,100,best,insert,srz,3,7.6505,1.4576
ta088,100,best,insert,srz,4,7.6505,1.4721
