Instance,Instance Size,Pivoting Rule,Neighborhood,Initial Solution,Run,Deviation (%),Time (s)
ta106,200,first,transpose,random,1,26.5145,9.7059
ta106,200,first,transpose,random,2,22.7565,5.07
ta106,200,first,transpose,random,3,22.8238,7.5952
ta106,200,first,transpose,random,4,23.0304,8.6781
ta106,200,first,transpose,random,5,20.3999,15.7052
ta106,200,first,transpose,random,6,23.5388,12.2109
ta106,200,first,transpose,random,7,27.3561,11.4054
ta106,200,first,transpose,random,8,22.9044,16.184
ta106,200,first,transpose,random,9,25.939,4.4086
ta106,200,first,transpose,random,10,22.226,8.4183
ta106,200,first,transpose,srz,1,6.6322,10.6577
ta106,200,first,transpose,srz,2,6.6289,14.0038
ta106,200,first,transpose,srz,3,6.6833,5.8435
ta106,200,first,transpose,srz,4,6.5786,13.2865
ta106,200,first,transpose,srz,5,6.6322,8.2218
ta106,200,first,transpose,srz,6,6.5706,14.3922
ta106,200,first,transpose,srz,7,6.6542,6.4486
ta106,200,first,transpose,srz,8,6.5956,10.7386
ta106,200,first,transpose,srz,9,6.5724,8.3423
ta106,200,first,transpose,srz,10,6.5786,11.1722
ta106,200,first,exchange,random,1,13.1348,12.5591
ta106,200,first,exchange,random,2,15.4518,11.2936
ta106,200,first,exchange,random,3,13.1085,13.993
ta106,200,first,exchange,random,4,16.3182,17.1635
ta106,200,first,exchange,random,5,19.7194,3.6775
ta106,200,first,exchange,random,6,14.4799,6.6704
ta106,200,first,exchange,random,7,15.2824,13.3233
ta106,200,first,exchange,random,8,12.4363,18.1815
ta106,200,first,exchange,random,9,14.3927,5.9979
ta106,200,first,exchange,random,10,15.0031,13.8098
ta106,200,first,exchange,srz,1,6.6864,5.2698
ta106,200,first,exchange,srz,2,6.6864,5.2416
ta106,200,first,exchange,srz,3,6.6864,5.2085
ta106,200,first,exchange,srz,4,6.6864,5.215
ta106,200,first,exchange,srz,5,6.6864,5.2544
ta106,200,first,exchange,srz,6,6.6864,5.2128
ta106,200,first,exchange,srz,7,6.6864,5.2231
