Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 37.25     32.29    32.29  2898684     0.00     0.00  PFSP::updateMakespanTable(int**, std::vector<int, std::allocator<int> > const&, int)
 25.82     54.66    22.37  2899380     0.00     0.00  PFSP::copyMakespanTable(int**, int**, int, int)
 10.63     63.87     9.21 3148344967     0.00     0.00  int const& std::max<int>(int const&, int const&)
 10.12     72.64     8.77                             std::vector<int, std::allocator<int> >::operator[](unsigned long)
  7.06     78.77     6.12 3924559136     0.00     0.00  std::vector<Job, std::allocator<Job> >::operator[](unsigned long)
  5.31     83.37     4.61 3924554336     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long) const
  0.90     84.15     0.78    48215     0.00     0.00  PFSP::computeMakespanTable(std::vector<int, std::allocator<int> > const&, int**)
  0.78     84.83     0.68      200     0.00     0.00  std::vector<int, std::allocator<int> >::resize(unsigned long)
  0.73     85.46     0.63  2918812     0.00     0.00  PFSP::getTotalCompletionTime(std::vector<int, std::allocator<int> > const&, int**)
  0.44     85.84     0.38                             std::vector<int, std::allocator<int> >::size() const
  0.25     86.06     0.22        1     0.22     0.22  std::vector<Machine, std::allocator<Machine> >::resize(unsigned long)
  0.05     86.10     0.04  8015091     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator+(long) const
  0.05     86.14     0.04  2919508     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&)
  0.05     86.18     0.04       13     0.00     5.84  PFSP::iterative_improvement_first(std::vector<int, std::allocator<int> >, std::function<void (std::vector<int, std::allocator<int> >&, int, int)>, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.03     86.21     0.03 18381996     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.03     86.24     0.03  3419052     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.03     86.27     0.03  2919934     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.02     86.29     0.02 12656922     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.02     86.31     0.02  5839443     0.00     0.00  std::allocator<int>::~allocator()
  0.02     86.33     0.02  2919908     0.00     0.00  int* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.02     86.35     0.02  2898691     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.02     86.37     0.02  1236304     0.00     0.00  PFSP::variable_neighborhood_descent_first(std::vector<int, std::allocator<int> >)::{lambda(std::vector<int, std::allocator<int> >&, int, int)#2} const& std::_Any_data::_M_access<PFSP::variable_neighborhood_descent_first(std::vector<int, std::allocator<int> >)::{lambda(std::vector<int, std::allocator<int> >&, int, int)#2}>() const
  0.02     86.39     0.02  1140620     0.00     0.00  std::vector<int, std::allocator<int> >::erase(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.02     86.41     0.02    20101     0.00     0.00  PFSP::getTotalCompletionTime(std::vector<int, std::allocator<int> > const&)
  0.01     86.42     0.01  9112006     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.01     86.43     0.01  8148022     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.01     86.44     0.01  5846682     0.00     0.00  int const* std::__niter_base<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.01     86.45     0.01  5787133     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.01     86.46     0.01  4139642     0.00     0.00  int& std::forward<int&>(std::remove_reference<int&>::type&)
  0.01     86.47     0.01  3482160     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.01     86.48     0.01  2940208     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.01     86.49     0.01  2923342     0.00     0.00  int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.01     86.50     0.01  2923342     0.00     0.00  int* std::__copy_move_a<false, int const*, int*>(int const*, int const*, int*)
  0.01     86.51     0.01  2919508     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int>, int>::_S_select_on_copy(std::allocator<int> const&)
